Row,centroid_HSV_1,centroid_HSV_2,distance_centroid_HSV,centroid_LCh_1,centroid_LCh_2,distance_centroid_LCh,centroid_CMYK_1,centroid_CMYK_2,distance_centroid_CMYK,centroid_RGB_1,centroid_RGB_2,distance_centroid_RGB,centroid_Lab_1,centroid_Lab_2,distance_centroid_Lab
Laboratory Users,0.31,0.17,0.12,0.58,0.24,0.05,0.42,0.3,0.16,0.35,0.22,0.19,0.39,0.23,0.14
Online Users (Regular),0.29,0.17,0.1,0.58,0.23,0.06,0.39,0.29,0.19,0.31,0.2,0.23,0.35,0.21,0.18
Online Users (Uncalibrated),0.4,0.2,0.21,0.6,0.26,0.07,0.49,0.32,0.1,0.43,0.24,0.11,0.48,0.27,0.04
Users aged Less Than 20 Years,0.29,0.14,0.08,0.57,0.22,0.07,0.4,0.28,0.18,0.31,0.17,0.24,0.36,0.19,0.18
Users aged Between 20 and 29 Years,0.31,0.18,0.12,0.59,0.23,0.06,0.4,0.3,0.18,0.33,0.21,0.22,0.37,0.22,0.16
Users aged Between 30 and 39 Years,0.27,0.13,0.06,0.6,0.23,0.07,0.39,0.27,0.19,0.31,0.17,0.25,0.34,0.19,0.2
Users aged Between 40 and 49 Years,0.28,0.21,0.13,0.58,0.23,0.06,0.4,0.32,0.18,0.32,0.24,0.22,0.38,0.25,0.15
Users aged Between 50 and 59 Years,0.31,0.18,0.12,0.59,0.23,0.06,0.4,0.3,0.18,0.33,0.21,0.22,0.37,0.22,0.16
Users aged Above 60 Years,0.25,0.11,0.03,0.57,0.24,0.04,0.37,0.27,0.21,0.29,0.16,0.27,0.32,0.19,0.22
Female Users,0.3,0.17,0.11,0.58,0.24,0.06,0.41,0.29,0.17,0.33,0.2,0.22,0.37,0.22,0.16
Male Users,0.29,0.16,0.1,0.58,0.23,0.06,0.39,0.29,0.19,0.32,0.21,0.23,0.36,0.22,0.17
Other Gender Users,0.26,0.12,0.06,0.58,0.23,0.06,0.43,0.31,0.15,0.32,0.19,0.23,0.4,0.23,0.13
