id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2
5710cbe10cade,objTwoColors,#FF8000,35,23,91,5,0.35,0.01,0.16,0.02,0.01,0.04,0.56,0.55
5710cc5a7829c,objTwoColors,#FF8000,59,1,193,4,0.56,0,0.16,0.03,0.03,0.01,0.46,0.45
5710cd99df604,objTwoColors,#FF8000,25,0,147,3,0.37,0.1,0.17,0.09,0.08,0.11,0.65,0.63
5710ce6c1308c,objTwoColors,#FF8000,5,53,120,4,0.04,0.01,0.16,0.02,0.02,0.02,0.74,0.73
5710cf445718e,objTwoColors,#FF8000,47,176,329,3,0.46,0.31,0.15,0.15,0.25,0.17,0.41,0.41
5710d140b7c5a,objTwoColors,#FF8000,5,54,229,3,0.03,0,0.16,0.02,0.02,0.01,0.74,0.73
5710d28fec2d1,objTwoColors,#FF8000,0,1,31,1,0.28,0.12,0.16,0.12,0.11,0.16,0.74,0.73
5710d71ff24c3,objTwoColors,#FF8000,57,2,105,5,0.55,0,0.16,0.03,0.02,0.01,0.47,0.46
5710d8ca226a2,objTwoColors,#FF8000,0,40,86,4,0.09,0.06,0.16,0.04,0.04,0.06,0.72,0.72
5710e540a9514,objTwoColors,#FF8000,10,56,44,4,0.03,0.02,0.16,0.03,0.04,0.01,0.72,0.72
5710e60f69205,objTwoColors,#FF8000,11,53,297,4,0.05,0.01,0.16,0.02,0.03,0.01,0.72,0.71
57110028bc74b,objTwoColors,#FF8000,0,45,48,5,0.07,0.05,0.16,0.02,0.03,0.04,0.72,0.72
571103343658b,objTwoColors,#FF8000,32,32,77,5,0.28,0.01,0.02,0.02,0.03,0.03,0.58,0.57
5711106ab212a,objTwoColors,#FF8000,4,58,75,4,0.01,0.01,0.16,0.03,0.03,0.01,0.75,0.74
5711148c11035,objTwoColors,#FF8000,302,56,109,2,0.36,0.12,0.17,0.12,0.14,0.15,0.76,0.76
5711149df2d2a,objTwoColors,#FF8000,101,54,216,5,0.44,0.22,0.16,0.14,0.26,0.18,0.33,0.33
57111f6c42412,objTwoColors,#FF8000,34,0,68,5,0.43,0.08,0.17,0.06,0.06,0.08,0.59,0.58
57112b9e10661,objTwoColors,#FF8000,51,19,163,2,0.46,0.03,0.16,0.03,0.05,0.01,0.48,0.47
57112d8509632,objTwoColors,#FF8000,357,55,176,5,0.02,0.03,0.16,0.02,0.01,0.01,0.74,0.73
57112da850667,objTwoColors,#FF8000,8,55,281,5,0.03,0.01,0.16,0.03,0.03,0.01,0.73,0.72
57112e1a2bbbb,objTwoColors,#FF8000,21,106,364,1,0.21,0.17,0.17,0.09,0.21,0.11,0.76,0.77
57112ebc85ba1,objTwoColors,#FF8000,334,58,80,5,0.14,0.08,0.16,0.08,0.06,0.06,0.72,0.72
57112edad4a17,objTwoColors,#FF8000,7,59,44,5,0.01,0.02,0.16,0.03,0.04,0.01,0.74,0.74
57112f57403ee,objTwoColors,#FF8000,46,8,152,4,0.49,0.02,0.16,0.02,0.01,0.03,0.51,0.51
571130c5cd6e9,objTwoColors,#FF8000,25,0,294,5,0.37,0.1,0.17,0.09,0.08,0.11,0.65,0.63
571130d934bda,objTwoColors,#FF8000,9,56,140,4,0.03,0.02,0.16,0.03,0.03,0.01,0.73,0.72
5711348e42f02,objTwoColors,#FF8000,356,65,225,4,0.03,0,0.16,0.04,0.04,0.02,0.76,0.75
5711389736065,objTwoColors,#FF8000,4,59,275,3,0,0.01,0.16,0.03,0.03,0.01,0.75,0.74
5711389736065,objTwoColors,#FF8000,353,60,462,5,0.01,0.02,0.16,0.03,0.03,0.01,0.75,0.74
57113a4121a89,objTwoColors,#FF8000,355,54,241,4,0.03,0.03,0.16,0.02,0.01,0.02,0.74,0.73
57113d4d93c81,objTwoColors,#FF8000,1,58,68,4,0.01,0,0.16,0.03,0.02,0.01,0.75,0.75
57113de4aed1a,objTwoColors,#FF8000,3,49,100,4,0.05,0.03,0.16,0.01,0.01,0.03,0.73,0.72
57113e3362c9f,objTwoColors,#FF8000,342,55,592,3,0.09,0.07,0.15,0.05,0.03,0.04,0.72,0.72
57113e6176346,objTwoColors,#FF8000,4,58,257,5,0.01,0.01,0.16,0.03,0.03,0.01,0.75,0.74
571153ca15566,objTwoColors,#FF8000,59,8,63,3,0.55,0.02,0.16,0.03,0.04,0.01,0.45,0.45
571154184c9bd,objTwoColors,#FF8000,17,0,8,5,0.33,0.11,0.18,0.1,0.09,0.14,0.7,0.68
5711641931da5,objTwoColors,#FF8000,53,5,118,5,0.52,0.01,0.16,0.02,0.02,0.02,0.48,0.47
571165992a5c1,objTwoColors,#FF8000,21,69,155,2,0.11,0.09,0.16,0.06,0.1,0.05,0.7,0.7
57116b9b879bf,objTwoColors,#FF8000,8,57,158,4,0.02,0.02,0.16,0.03,0.03,0.01,0.73,0.73
5711703bd85fc,objTwoColors,#FF8000,7,57,67,5,0.02,0.01,0.16,0.03,0.03,0.01,0.73,0.74
57117fe7495aa,objTwoColors,#FF8000,0,40,54,5,0.09,0.06,0.16,0.04,0.04,0.06,0.72,0.72
5711800f2c5f3,objTwoColors,#FF8000,6,53,324,4,0.04,0,0.16,0.02,0.02,0.01,0.73,0.73
571183866d73f,objTwoColors,#FF8000,55,3,69,5,0.54,0.01,0.16,0.02,0.02,0.01,0.47,0.46
57119224388ef,objTwoColors,#FF8000,59,357,0,5,0.56,0.01,0.16,0.03,0.02,0.01,0.45,0.45
5711ace2ee7ed,objTwoColors,#FF8000,59,7,66,5,0.55,0.02,0.16,0.03,0.04,0.01,0.45,0.45
5711cbde51bb0,objTwoColors,#FF8000,351,59,125,4,0.02,0.03,0.16,0.04,0.03,0.02,0.74,0.74
571210e10d88b,objTwoColors,#FF8000,27,0,105,5,0.38,0.09,0.17,0.08,0.08,0.11,0.64,0.62
571214121717c,objTwoColors,#FF8000,60,2,85,5,0.56,0.01,0.16,0.03,0.03,0.01,0.46,0.44
5712197fbccd5,objTwoColors,#FF8000,0,48,27,4,0.05,0.04,0.16,0.02,0.02,0.03,0.73,0.73
57121e2a63601,objTwoColors,#FF8000,0,0,0,1,0.28,0.12,0.16,0.12,0.11,0.16,0.74,0.73
57122801e1da9,objTwoColors,#FF8000,57,15,106,5,0.51,0.04,0.16,0.03,0.05,0.01,0.45,0.45
57123bec83e8e,objTwoColors,#FF8000,59,6,289,5,0.55,0.02,0.16,0.03,0.04,0.01,0.45,0.45
57123e4050550,objTwoColors,#FF8000,4,58,281,4,0.01,0.01,0.16,0.03,0.03,0.01,0.75,0.74
57123e4050550,objTwoColors,#FF8000,0,48,402,3,0.05,0.04,0.16,0.02,0.02,0.03,0.73,0.73
571247f66fb51,objTwoColors,#FF8000,7,53,228,4,0.04,0,0.16,0.02,0.02,0.01,0.73,0.73
571252e6d2e70,objTwoColors,#FF8000,56,7,86,5,0.54,0.01,0.16,0.03,0.03,0.01,0.47,0.46
571260c120253,objTwoColors,#FF8000,9,59,60,2,0.02,0.03,0.16,0.03,0.04,0.01,0.74,0.73
57127bcfaafb0,objTwoColors,#FF8000,9,52,81,5,0.05,0,0.16,0.02,0.02,0.01,0.72,0.72
5712bd55a8a13,objTwoColors,#FF8000,7,59,172,3,0.01,0.02,0.16,0.03,0.04,0.01,0.74,0.74
5712c2b021f58,objTwoColors,#FF8000,57,9,48,5,0.53,0.02,0.16,0.03,0.04,0.01,0.46,0.46
5712c57f97f25,objTwoColors,#FF8000,5,53,69,5,0.04,0.01,0.16,0.02,0.02,0.02,0.74,0.73
5712d16eb8094,objTwoColors,#FF8000,8,0,176,5,0.29,0.12,0.19,0.12,0.11,0.15,0.73,0.71
5713923c1bbc7,objTwoColors,#FF8000,56,12,196,2,0.52,0.03,0.16,0.03,0.04,0.01,0.47,0.46
5713b10383207,objTwoColors,#FF8000,8,58,79,4,0.02,0.02,0.16,0.03,0.04,0.01,0.74,0.73
5713fc80c942a,objTwoColors,#FF8000,58,1,50,5,0.55,0,0.16,0.03,0.02,0.01,0.47,0.45
57153d9a56ce0,objTwoColors,#FF8000,0,29,14,5,0.16,0.09,0.17,0.07,0.07,0.1,0.71,0.71
57153eb9b4bed,objTwoColors,#FF8000,0,349,109,5,0.27,0.12,0.19,0.13,0.11,0.16,0.71,0.71
5716e9900f6ea,objTwoColors,#FF8000,52,354,508,3,0.53,0.04,0.16,0.02,0.01,0.02,0.48,0.47
57190633f233f,objTwoColors,#FF8000,57,353,169,4,0.54,0.03,0.16,0.03,0.02,0.01,0.45,0.45
572106a31c230,objTwoColors,#FF8000,5,53,117,3,0.04,0.01,0.16,0.02,0.02,0.02,0.74,0.73
57277ba3c5a5c,objTwoColors,#FF8000,5,58,157,5,0.02,0.01,0.16,0.03,0.03,0.01,0.75,0.74
5727d86840dc8,objTwoColors,#FF8000,7,59,59,5,0.01,0.02,0.16,0.03,0.04,0.01,0.74,0.74
572934019041e,objTwoColors,#FF8000,18,48,264,5,0.1,0.02,0.16,0.02,0.03,0.01,0.68,0.67
572baa7f9493c,objTwoColors,#FF8000,0,44,31,3,0.07,0.05,0.16,0.03,0.03,0.05,0.72,0.72
5734918f46823,objTwoColors,#FF8000,58,14,44,4,0.52,0.04,0.16,0.03,0.05,0.01,0.45,0.44
5734d89183dab,objTwoColors,#FF8000,48,18,59,4,0.46,0.02,0.16,0.02,0.03,0.01,0.49,0.49
5735d3455a84c,objTwoColors,#FF8000,48,353,95,4,0.5,0.06,0.16,0.02,0.02,0.03,0.49,0.49
5736048bb110b,objTwoColors,#FF8000,28,26,60,5,0.29,0.02,0.16,0.03,0.01,0.06,0.6,0.6
573634984323e,objTwoColors,#FF8000,13,56,82,4,0.04,0.03,0.16,0.03,0.04,0.01,0.71,0.71
57366c199283c,objTwoColors,#FF8000,4,54,57,4,0.02,0.01,0.16,0.02,0.02,0.01,0.74,0.73
573678e895606,objTwoColors,#FF8000,59,1,126,5,0.56,0,0.16,0.03,0.03,0.01,0.46,0.45
5738cf3d97a58,objTwoColors,#FF8000,0,45,306,4,0.07,0.05,0.16,0.02,0.03,0.04,0.72,0.72
